brand;score
ferrari;1,570
bmw;1,365
mercedes-benz;1,295
audi;1,260
lamborghini;1,190
porsche;1,165
ford;1,000
volkswagen;890
toyota;840
seat;630
jaguar tech.;595
renault;565
aston martin;505
rolls royce;495
maserati;490
peugeot;430
chevrolet;420
opel;400
bugatti;395
mazda;355
alfa romeo;350
lexus;345
volvo;330
mitsubishi motors;325
suzuki motor;320
corvette;320
bentley;315
land rover;310
cadillac;305
nissan;300
fiat;295
dodge;280
citroÃ«n;265
lotus;260
subaru;235
hyundai;220
hummer;195
kia motor;195
saab;190
chrysler;170
pontiac;155
lancia;150
skoda;150
rover;145
daewoo;145
dacia;130
talbot;115
tata;110
santana motor;105
vauxhall;95
loncin;55
austin rover;50
malaguti;20
lada;15
